ID,Level,X Coordinate,Y Coordinate,Mode,Zone,Biome,Chroma,???
2457,13,20,35,Terrain,Hypermage,55,Pulse,43433
2458,13,44,44,Terrain,Arc,72,Pulse,51807
2459,15,17,3,Terrain,pfpfpfpbbx80,31,Hyper,51848
2460,7,1,19,Terrain,Intro Forest,12,Flow,45855
2461,11,6,8,Terrain,[DARK],66,Pulse,26706
2462,13,43,12,Terrain,Nightrose,57,Flow,48429
2463,14,27,12,Terrain,Warp,23,Flow,31212
2464,20,2,0,Terrain,Alto,37,Flow,42916
2465,14,3,5,Terrain,Exduo,0,Flow,34171
2466,14,43,16,Terrain,Holo,67,Pulse,53725
2467,13,39,11,Terrain,Arc,64,Flow,50928
2468,13,23,9,Terrain,Mecha,46,Flow,36177
2469,13,3,3,Terrain,Nightrose,57,Flow,42273
2470,13,16,29,Terrain,Arc,26,Flow,53897
2471,14,28,8,Terrain,Riso,80,Pulse,46090
2472,13,22,21,Terrain,Mecha,55,Pulse,47200
2473,13,34,7,Terrain,Grove,43,Flow,7741
2474,14,20,6,Terrain,Holo,27,Flow,49288
2475,7,8,5,Terrain,Intro Forest,44,Flow,37241
2476,4,5,2,Terrain,Kairo,55,Flow,42458
2477,11,23,17,Terrain,[MENU],46,Pulse,47379
2478,15,10,2,Terrain,Pepo,3,Flow,41026
2479,17,9,8,Terrain,Alto,81,Flow,40279
2480,16,21,23,Terrain,Treasure,45,Pulse,28343
2481,13,5,36,Terrain,Mecha,35,Pulse,43113
2482,5,0,9,Terrain,Royal,83,Flow,41606
2483,10,29,21,Terrain,[HYCA],34,Pulse,38652
2484,7,14,12,Terrain,First Earth,48,Flow,47587
2485,14,14,35,Terrain,Exduo,50,Flow,49930
2486,6,18,1,Terrain,Toad,36,Pulse,52856
2487,13,17,13,Terrain,Hypermage,68,Flow,50174
2488,13,0,1,Terrain,Hypermage,42,Flow,50658
2489,13,45,46,Terrain,Arc,5,Flow,38942
2490,6,14,6,Terrain,Ender,7,Flow,47317
2491,13,43,24,Terrain,Arc,69,Flow,53847
2492,10,3,11,Terrain,[SEP],53,Hyper,40805
2493,15,13,17,Terrain,Venmon,7,Flow,42380
2494,13,36,10,Terrain,Arc,35,Flow,47207
2495,14,18,45,Terrain,Hyphae,58,Flow,53629
2496,7,6,3,Terrain,Zerinia,47,Flow,33352
2497,9,6,4,Terrain,Wastelands,91,Pulse,41162
2498,7,6,2,Terrain,Intro Forest,45,Pulse,44577
2499,4,10,2,Terrain,Kairo,52,Flow,48478
2500,9,10,0,Terrain,Wastelands,83,Flow,37441
2501,13,33,43,Terrain,Dynacrypts,62,Flow,11336
2502,11,7,24,Terrain,[DARK],90,Flow,38509
2503,11,4,15,Terrain,[BLOOD],51,Flow,48212
2504,14,38,12,Terrain,Hyphae,70,Pulse,32398
2505,8,8,22,Terrain,Calyx,18,Hyper,48950
2506,13,9,40,Terrain,Mecha,46,Flow,48451
2507,14,40,2,Terrain,Riso,32,Pulse,49008
2508,14,8,25,Terrain,Mirage,22,Flow,25209
2509,10,7,18,Terrain,[YUNA],61,Flow,46284
2510,13,45,5,Terrain,Dynacrypts,47,Flow,53419
2511,2,2,4,Terrain,Kairo,60,Flow,50418
2512,17,12,0,Terrain,Alto,70,Hyper,47731
2513,13,3,5,Terrain,Grove,56,Flow,53543
2514,14,9,35,Terrain,Mirage,45,Hyper,22005
2515,8,15,4,Terrain,Kippsun,44,Flow,50139
2516,8,21,20,Terrain,Cradle,42,Flow,38864
2517,6,19,8,Terrain,Ender,11,Flow,21023
2518,12,12,11,Terrain,Muxtai X1,39,Flow,16075
2519,13,16,30,Terrain,Hypermage,51,Flow,53329
2520,14,45,1,Terrain,Mirage,40,Pulse,43996
2521,11,27,15,Terrain,[HOME],53,Pulse,35467
2522,14,11,45,Terrain,Holo,58,Flow,52355
2523,15,7,4,Terrain,Linosim,24,Flow,32022
2524,7,20,2,Terrain,Zerinia,47,Pulse,41461
2525,13,40,21,Terrain,Arc,36,Pulse,16107
2526,13,2,39,Terrain,Mecha,69,Flow,42224
2527,10,31,21,Terrain,[CUR2],56,Flow,43230
2528,10,24,7,Terrain,[MOON],17,Flow,41884
2529,6,12,20,Terrain,Ender,48,Pulse,33613
2530,18,2,6,Terrain,Alto,90,Pulse,42121
2531,8,17,14,Terrain,Kippsun,61,Hyper,39437
2532,10,6,5,Terrain,[SEP],10,Flow,45667
2533,10,15,13,Terrain,[MOON],52,Flow,51361
2534,14,1,21,Terrain,Mirage,48,Flow,39991
2535,13,38,15,Terrain,Dynacrypts,38,Pulse,43630
2536,14,32,2,Terrain,Hyphae,62,Pulse,37551
2537,14,42,45,Terrain,Riso,0,Flow,26515
2538,11,6,28,Terrain,[WEN],26,Flow,28812
2539,13,23,16,Terrain,Nightrose,71,Flow,21793
2540,14,24,6,Terrain,Holo,58,Flow,43004
2541,14,13,32,Terrain,Exduo,25,Hyper,38305
2542,13,1,24,Terrain,Nightrose,60,Pulse,18887
2543,14,15,12,Terrain,Holo,53,Pulse,32617
2544,13,42,46,Terrain,Dynacrypts,55,Flow,45935
2545,14,45,40,Terrain,Mirage,31,Flow,53535
2546,13,40,12,Terrain,Arc,53,Pulse,41549
2547,17,8,8,Terrain,Alto,1,Flow,50151
2548,10,22,11,Terrain,[NEON],41,Pulse,50879
2549,13,35,42,Terrain,Aetherking,23,Flow,8492
2550,13,34,1,Terrain,Hypermage,32,Flow,51260
2551,5,1,13,Terrain,Royal,88,Hyper,40480
2552,15,6,17,Terrain,Pepo,57,Flow,53139
2553,13,40,2,Terrain,Arc,51,Flow,41790
2554,11,21,10,Terrain,[BOSS],68,Pulse,46365
2555,12,10,3,Terrain,Palace,29,Flow,48793
2556,3,5,0,Terrain,Kairo,14,Flow,37774
2557,16,19,19,Terrain,Ouallada,63,Pulse,39068
2558,13,43,10,Terrain,Arc,58,Pulse,49365
2559,6,5,16,Terrain,Ender,5,Pulse,41181
2560,8,19,21,Terrain,Everglades,59,Pulse,51098
2561,13,22,36,Terrain,Hypermage,61,Pulse,30143
2562,15,2,18,Terrain,Pepo,48,Flow,20801
2563,10,18,5,Terrain,[YUNA],61,Pulse,42527
2564,8,19,14,Terrain,Everglades,59,Pulse,30277
2565,7,8,21,Terrain,Zerinia,21,Pulse,26985
2566,13,30,41,Terrain,Hypermage,46,Hyper,40456
2567,10,30,26,Terrain,[SEP],24,Hyper,34675
2568,14,8,22,Terrain,Holo,28,Pulse,52835
2569,8,8,8,Terrain,Cradle,17,Flow,49984
2570,14,44,11,Terrain,Holo,43,Flow,45477
2571,13,13,41,Terrain,Grove,53,Pulse,36770
2572,15,16,9,Terrain,Linosim,72,Flow,32773
2573,13,6,10,Terrain,Nightrose,54,Pulse,42123
2574,17,10,6,Terrain,Alto,43,Pulse,49378
2575,14,36,36,Terrain,Shiro,72,Pulse,39742
2576,13,13,9,Terrain,Hypermage,56,Flow,37976
2577,11,29,13,Terrain,[DARK],51,Flow,42504
2578,13,19,41,Terrain,Dynacrypts,50,Flow,29935
2579,10,0,17,Terrain,[NEON],57,Pulse,35488
2580,11,21,11,Terrain,[BOSS],54,Flow,33817
2581,14,29,34,Terrain,Holo,71,Pulse,20673
2582,14,36,22,Terrain,Riso,62,Flow,45918
2583,13,44,15,Terrain,Grove,48,Flow,41659
2584,13,32,21,Terrain,Nightrose,59,Flow,51166
2585,14,3,31,Terrain,Riso,24,Flow,33326
2586,14,41,39,Terrain,Shiro,43,Flow,51047
2587,13,35,37,Terrain,Arc,38,Flow,51972
2588,16,14,2,Terrain,Uwo,56,Pulse,46629
2589,14,35,32,Terrain,Hyphae,72,Pulse,33764
2590,14,27,10,Terrain,Exduo,41,Flow,49347
2591,10,23,7,Terrain,[MOON],60,Flow,32093
2592,13,30,40,Terrain,Nightrose,45,Pulse,33727
2593,13,14,6,Terrain,Hypermage,45,Flow,44375
2594,6,4,9,Terrain,Ender,38,Pulse,44880
2595,10,13,16,Terrain,[MOON],1,Flow,50642
2596,14,21,6,Terrain,Holo,49,Hyper,47722
2597,8,23,20,Terrain,Everglades,40,Flow,22424
2598,14,7,0,Terrain,Hyphae,34,Flow,51340
2599,14,44,18,Terrain,Holo,42,Flow,51195
2600,13,12,31,Terrain,Mecha,25,Flow,43468
2601,6,14,16,Terrain,Ender,4,Pulse,40361
2602,12,3,15,Terrain,Palace,23,Pulse,53680
2603,16,5,20,Terrain,Ouallada,36,Flow,43786
2604,15,13,15,Terrain,Blushing,69,Flow,50206
2605,12,2,0,Terrain,Muxtai X1,6,Flow,43993
2606,14,34,45,Terrain,Shiro,48,Flow,41475
2607,16,18,19,Terrain,Ouallada,65,Pulse,35309
2608,13,24,1,Terrain,Grove,44,Flow,19102
2609,13,6,32,Terrain,Mecha,0,Flow,45486
2610,13,43,19,Terrain,Hypermage,54,Flow,33856
2611,14,47,22,Terrain,Hyphae,29,Flow,36376
2612,14,17,40,Terrain,Exduo,49,Flow,53195
2613,13,45,2,Terrain,Arc,33,Flow,53474
2614,8,12,20,Terrain,Calyx,64,Flow,45992
2615,14,7,17,Terrain,Holo,44,Hyper,33578
2616,13,19,11,Terrain,Nightrose,45,Flow,52668
2617,13,27,35,Terrain,Grove,51,Hyper,44461
2618,11,1,11,Terrain,[BLOOD],59,Pulse,42318
2619,14,18,25,Terrain,Holo,6,Flow,47209
2620,12,13,1,Terrain,Palace,36,Flow,41690
2621,14,32,34,Terrain,Shiro,50,Pulse,49615
2622,13,26,47,Terrain,Hypermage,47,Pulse,36803
2623,13,30,8,Terrain,Grove,57,Pulse,30897
2624,11,21,5,Terrain,[DARK],31,Pulse,48968
2625,13,33,37,Terrain,Hypermage,53,Pulse,53145
2626,11,24,24,Terrain,[HOME],4,Flow,41065
2627,10,6,17,Terrain,[HYCA],24,Flow,51327
2628,13,7,32,Terrain,Mecha,61,Flow,51673
2629,13,1,15,Terrain,Hypermage,67,Flow,21212
2630,12,14,5,Terrain,Palace,38,Pulse,47292
2631,10,1,0,Terrain,[MOON],69,Flow,22959
2632,13,42,40,Terrain,Aetherking,63,Flow,42258
2633,13,32,4,Terrain,Grove,48,Pulse,21377
2634,7,9,19,Terrain,First Earth,55,Flow,50408
2635,12,7,5,Terrain,Palace,46,Pulse,39364
2636,13,30,22,Terrain,Grove,41,Hyper,32882
2637,19,5,2,Terrain,Alto,90,Flow,46094
2638,14,2,10,Terrain,Holo,29,Flow,49946
2639,19,3,1,Terrain,Alto,7,Flow,35936
2640,11,1,20,Terrain,[DARK],50,Hyper,22841
2641,17,14,4,Terrain,Alto,65,Pulse,26725
2642,6,7,4,Terrain,Ender,18,Pulse,48537
2643,14,39,28,Terrain,Exduo,38,Flow,6875
2644,14,4,15,Terrain,Hyphae,32,Flow,27083
2645,14,17,44,Terrain,Hyphae,9,Flow,46396
2646,16,14,14,Terrain,Uwo,38,Flow,33425
2647,11,23,5,Terrain,[WEN],48,Pulse,33965
2648,8,13,19,Terrain,Calyx,65,Pulse,45069
2649,14,10,8,Terrain,Riso,66,Flow,35325
2650,13,7,44,Terrain,Hypermage,47,Pulse,37174
2651,14,20,9,Terrain,Holo,39,Flow,38625
2652,6,14,10,Terrain,Mori,40,Flow,47808
2653,10,3,18,Terrain,[HYCA],51,Flow,14692
2654,14,26,36,Terrain,Holo,35,Pulse,42317
2655,13,15,0,Terrain,Dynacrypts,57,Pulse,52642
2656,10,22,3,Terrain,[CUR2],65,Pulse,40151
2657,13,0,29,Terrain,Dynacrypts,2,Flow,32014
2658,10,6,21,Terrain,[NOV],90,Pulse,48628
2659,7,4,22,Terrain,Intro Forest,46,Flow,33256
2660,16,23,18,Terrain,Ouallada,26,Flow,42363
2661,13,43,5,Terrain,Dynacrypts,46,Flow,49102
2662,13,2,4,Terrain,Grove,21,Pulse,52685
2663,5,9,10,Terrain,Tetsu,85,Flow,52861
2664,13,25,14,Terrain,Nightrose,54,Flow,29849
2665,10,24,31,Terrain,[YUNA],82,Hyper,46281
2666,12,15,9,Terrain,Muxtai X1,24,Flow,40465
2667,5,4,7,Terrain,Xleph,88,Flow,37910
2668,6,22,6,Terrain,Mori,12,Flow,50299
2669,8,2,19,Terrain,Kippsun,27,Pulse,41202
2670,13,19,36,Terrain,Hypermage,69,Pulse,45584
2671,10,18,17,Terrain,[CUR2],54,Flow,39139
2672,11,1,16,Terrain,[BOSS],43,Flow,41599
2673,14,31,17,Terrain,Radiant,32,Hyper,47334
2674,14,44,6,Terrain,Holo,6,Pulse,39841
2675,9,12,0,Terrain,Wastelands,86,Flow,53901
2676,6,4,0,Terrain,Ender,34,Hyper,43901
2677,6,11,16,Terrain,Ender,53,Pulse,51275
2678,13,6,12,Terrain,Hypermage,38,Flow,37398
2679,9,10,5,Terrain,Wastelands,8,Flow,49639
2680,6,6,8,Terrain,Ender,22,Flow,19451
2681,7,9,17,Terrain,Zerinia,4,Pulse,52268
2682,14,2,8,Terrain,Holo,71,Pulse,36028
2683,13,3,0,Terrain,Hypermage,27,Flow,23898
2684,2,3,1,Terrain,Kairo,30,Flow,53098
2685,7,7,6,Terrain,Zerinia,46,Flow,51526
2686,6,21,9,Terrain,Ender,28,Flow,42444
2687,11,0,16,Terrain,[BOSS],71,Flow,41402
2688,14,8,3,Terrain,Riso,28,Flow,37967
2689,11,16,13,Terrain,[WEN],69,Flow,36695
2690,13,45,0,Terrain,Hypermage,24,Flow,49711
2691,11,14,16,Terrain,[WEN],29,Flow,33499
2692,9,4,13,Terrain,Wastelands,86,Hyper,34192
2693,13,19,37,Terrain,Hypermage,45,Pulse,39149
2694,13,37,33,Terrain,Valeria,32,Flow,45709
2695,16,17,20,Terrain,Ouallada,50,Flow,25711
2696,6,10,3,Terrain,Toad,18,Flow,33204
2697,14,36,4,Terrain,Warp,3,Pulse,31797
2698,19,5,5,Terrain,Alto,41,Flow,39709
2699,15,15,7,Terrain,Avidana,49,Flow,28795
2700,15,20,0,Terrain,Avidana,70,Pulse,27497
2701,13,45,33,Terrain,Arc,27,Flow,29819
2702,15,19,11,Terrain,Venmon,38,Flow,53692
2703,14,36,9,Terrain,Holo,7,Pulse,39826
2704,7,23,1,Terrain,Zerinia,47,Flow,51571
2705,13,12,47,Terrain,Nightrose,70,Pulse,51537
2706,14,15,20,Terrain,Riso,32,Flow,53054
2707,16,23,0,Terrain,Greysunn,54,Flow,36015
2708,10,21,16,Terrain,[HYCA],67,Pulse,36849
2709,9,4,12,Terrain,Aria,87,Flow,39584
2710,6,23,15,Terrain,Angel,16,Flow,40101
2711,7,10,3,Terrain,Mt Zuka,16,Flow,45851
2712,13,5,19,Terrain,Grove,41,Flow,52995
2713,13,11,33,Terrain,Mecha,52,Flow,37273
2714,6,23,18,Terrain,Bubble,66,Flow,31508
2715,13,47,23,Terrain,Arc,48,Flow,38376
2716,10,14,10,Terrain,[HYCA],6,Flow,36366
2717,13,46,37,Terrain,Dynacrypts,48,Flow,43506
2718,16,6,8,Terrain,Greysunn,54,Flow,53993
2719,11,30,19,Terrain,[BOSS],82,Flow,30630
2720,11,19,1,Terrain,[HOME],18,Flow,35547
2721,13,35,13,Terrain,Dynacrypts,50,Flow,31271
2722,11,4,0,Terrain,[SOON],68,Flow,31567
2723,13,28,43,Terrain,Hypermage,56,Flow,20307
2724,13,39,30,Terrain,Killscreen,46,Flow,53767
2725,16,13,16,Terrain,Treasure,66,Flow,29326
2726,13,11,21,Terrain,Mecha,47,Flow,32244
2727,14,38,30,Terrain,Riso,51,Pulse,14098
2728,13,16,11,Terrain,Hypermage,25,Hyper,40231
2729,5,11,2,Terrain,Xleph,89,Flow,45736
2730,11,10,4,Terrain,[WEN],35,Flow,50618
2731,16,4,17,Terrain,Uwo,27,Flow,50695
2732,6,11,10,Terrain,Rocket,36,Hyper,19687
2733,6,2,14,Terrain,Angel,7,Flow,13755
2734,14,44,22,Terrain,Hyphae,72,Pulse,20686
2735,11,29,24,Terrain,[WEN],43,Pulse,17702
2736,11,10,23,Terrain,[BLOOD],53,Flow,40784
2737,15,22,17,Terrain,Avidana,49,Flow,29157
2738,14,3,44,Terrain,Mirage,47,Flow,44653
2739,12,11,5,Terrain,Palace,13,Flow,33874
2740,8,0,12,Terrain,Calyx,65,Pulse,51239
2741,13,13,3,Terrain,Arc,27,Flow,41256
2742,14,21,30,Terrain,Riso,32,Flow,40947
2743,4,3,13,Terrain,Kairo,54,Pulse,45877
2744,13,32,6,Terrain,Grove,1,Hyper,10013
2745,13,7,19,Terrain,Grove,59,Pulse,34819
2746,4,9,2,Terrain,Kairo,54,Flow,53847
2747,10,5,22,Terrain,[MOON],27,Flow,49012
2748,6,18,3,Terrain,Rocket,41,Pulse,38541
2749,13,40,3,Terrain,Dynacrypts,27,Flow,41188
2750,13,1,9,Terrain,Nightrose,62,Flow,24726
2751,14,43,23,Terrain,Riso,61,Pulse,40035
2752,13,6,42,Terrain,Mecha,44,Flow,31222
2753,8,10,10,Terrain,Promiselands,46,Flow,33744
2754,13,37,11,Terrain,Arc,49,Pulse,27796
2755,14,42,2,Terrain,Hyphae,53,Flow,36889
2756,13,23,3,Terrain,Mecha,35,Flow,20663
2757,4,11,2,Terrain,Kairo,52,Flow,33415
2758,14,14,0,Terrain,Mirage,36,Pulse,17344
2759,6,2,23,Terrain,Bubble,3,Flow,50143
2760,18,7,4,Terrain,Alto,59,Pulse,52788
2761,14,24,34,Terrain,Shiro,23,Hyper,37951
2762,11,23,23,Terrain,[MENU],19,Pulse,53315
2763,14,44,35,Terrain,Mirage,8,Pulse,48123
2764,11,18,9,Terrain,[HOME],11,Flow,38115
2765,8,17,3,Terrain,Cradle,30,Flow,34372
2766,14,46,34,Terrain,Hyphae,26,Pulse,25782
2767,13,38,10,Terrain,Arc,58,Flow,41657
2768,13,13,44,Terrain,Hypermage,43,Flow,47406
2769,13,23,2,Terrain,Mecha,62,Flow,32528
2770,16,20,22,Terrain,Greysunn,43,Hyper,53127
2771,14,7,27,Terrain,Hyphae,72,Pulse,21636
2772,12,11,8,Terrain,Palace,21,Flow,30695
2773,13,17,10,Terrain,Hypermage,9,Flow,48139
2774,8,6,0,Terrain,Everglades,63,Flow,22998
2775,11,24,3,Terrain,[HOME],62,Flow,49243
2776,14,17,24,Terrain,Holo,48,Flow,49969
2777,14,42,41,Terrain,Mirage,52,Hyper,21851
2778,7,0,2,Terrain,Intro Forest,49,Flow,33949
2779,6,11,22,Terrain,Ender,30,Pulse,44672
2780,13,15,17,Terrain,Nightrose,61,Flow,46072
2781,14,46,7,Terrain,Holo,56,Hyper,42761
2782,14,36,32,Terrain,Hyphae,49,Flow,46462
2783,14,23,21,Terrain,Holo,44,Flow,15492
2784,15,9,5,Terrain,Pepo,55,Flow,18583
2785,14,34,30,Terrain,Riso,33,Flow,53534
2786,14,40,31,Terrain,Riso,54,Flow,53691
2787,6,17,14,Terrain,Ender,0,Pulse,46620
2788,5,3,14,Terrain,Royal,84,Pulse,19554
2789,13,25,3,Terrain,Mecha,48,Flow,6835
2790,13,33,31,Terrain,Arc,54,Flow,36834
2791,10,6,1,Terrain,[HYCA],54,Hyper,52919
2792,11,1,7,Terrain,[BLOOD],9,Pulse,38966
2793,10,27,27,Terrain,[YUNA],59,Flow,45828
2794,6,1,0,Daydream,Mori,33,Flow,36761
2795,13,6,27,Terrain,Nightrose,43,Flow,18260
2796,8,5,11,Terrain,Promiselands,60,Flow,33521
2797,10,4,11,Terrain,[SEP],91,Flow,36914
2798,14,32,4,Terrain,Exduo,34,Flow,15415
2799,14,13,40,Terrain,Hyphae,50,Flow,34848
2800,16,21,13,Terrain,Ouallada,61,Pulse,20781
2801,10,24,14,Terrain,[MOON],47,Flow,53949
2802,7,15,22,Terrain,Jadeite,9,Flow,38244
2803,13,40,42,Terrain,Valeria,59,Hyper,22585
2804,6,12,16,Terrain,Mori,34,Pulse,40263
2805,10,1,9,Terrain,[NOV],56,Flow,42791
2806,14,39,35,Terrain,Mirage,34,Flow,51821
2807,5,11,4,Terrain,Tetsu,88,Pulse,47666
2808,14,4,41,Terrain,Holo,54,Flow,32833
2809,11,13,22,Terrain,[WEN],90,Pulse,21768
2810,10,21,15,Terrain,[CUR2],0,Flow,50870
2811,14,1,22,Terrain,Mirage,43,Flow,24723
2812,13,20,26,Terrain,Arc,46,Flow,45302
2813,3,5,6,Terrain,Kairo,47,Pulse,31508
2814,13,33,11,Terrain,Hypermage,46,Pulse,46557
2815,13,7,43,Terrain,Nightrose,57,Hyper,33640
2816,6,15,17,Terrain,Toad,39,Pulse,48467
2817,14,0,0,Terrain,Hyphae,35,Flow,51881
2818,7,3,9,Terrain,First Earth,50,Flow,13245
2819,13,17,4,Terrain,Nightrose,25,Hyper,19938
2820,6,10,22,Terrain,Ender,29,Pulse,51925
2821,4,4,14,Terrain,Kairo,57,Hyper,29395
2822,13,24,44,Terrain,Dynacrypts,6,Flow,52631
2823,8,10,13,Terrain,Calyx,20,Pulse,48299
2824,6,17,23,Terrain,Toad,66,Hyper,51632
2825,17,12,14,Terrain,Alto,14,Flow,33283
2826,14,19,23,Terrain,Holo,38,Flow,36359
2827,15,20,23,Terrain,pfpfpfpbbx80,45,Pulse,51031
2828,4,7,12,Terrain,Kairo,4,Pulse,51243
2829,7,16,2,Terrain,Zerinia,1,Hyper,46200
2830,11,18,17,Terrain,[MENU],35,Pulse,31624
2831,14,38,27,Terrain,Exduo,61,Flow,20157
2832,14,9,27,Terrain,Hyphae,68,Pulse,32197
2833,19,6,0,Terrain,Alto,85,Pulse,34063
2834,16,22,4,Terrain,Mould,31,Flow,44381
2835,8,23,8,Terrain,Promiselands,62,Pulse,37597
2836,6,6,7,Terrain,Ender,42,Hyper,20999
2837,17,4,11,Terrain,Alto,77,Flow,28186
2838,10,25,6,Terrain,[MOON],28,Pulse,42557
2839,16,6,9,Terrain,Treasure,61,Flow,50647
2840,16,3,22,Terrain,Treasure,59,Flow,41513
2841,5,2,11,Terrain,Tetsu,91,Hyper,23118
2842,10,11,25,Terrain,[CUR2],49,Pulse,34129
2843,8,13,14,Terrain,Akileaf,72,Flow,47657
2844,8,0,22,Terrain,Promiselands,31,Flow,50862
2845,11,4,4,Terrain,[BLOOD],63,Flow,49933
2846,13,28,40,Terrain,Nightrose,60,Flow,9912
2847,6,11,23,Terrain,Rocket,14,Flow,34830
2848,7,14,9,Terrain,Zerinia,6,Hyper,51009
2849,10,16,6,Terrain,[YUNA],48,Flow,52676
2850,13,20,40,Terrain,Arc,53,Pulse,34204
2851,11,24,5,Terrain,[HOME],24,Pulse,26348
2852,8,23,6,Terrain,Everglades,63,Flow,53467
2853,13,9,11,Terrain,Hypermage,65,Flow,26343
2854,13,28,0,Terrain,Nightrose,3,Pulse,53854
2855,13,41,32,Terrain,Killscreen,3,Flow,51128
2856,11,30,26,Terrain,[MENU],31,Flow,30605
2857,6,9,8,Terrain,Toad,2,Pulse,42733
2858,11,23,2,Terrain,[DARK],43,Pulse,43733
2859,7,1,13,Terrain,First Earth,14,Flow,47483
2860,16,23,23,Origin Daydream,Mould,50,Pulse,53660
2861,15,4,10,Origin Daydream,Blushing,70,Flow,27684
2862,16,8,2,Terrain,Greysunn,27,Pulse,46187
2863,9,9,5,Terrain,Wastelands,83,Flow,33151
2864,14,44,14,Terrain,Holo,68,Flow,46385
2865,15,5,2,Terrain,Blushing,46,Flow,37562
2866,14,30,19,Terrain,Warp,3,Pulse,32815
2867,11,9,14,Terrain,[BLOOD],43,Pulse,50697
2868,8,9,15,Terrain,Promiselands,0,Flow,44957
2869,14,40,4,Terrain,Riso,66,Flow,50314
2870,11,24,28,Terrain,[DARK],63,Pulse,35331
2871,11,11,0,Terrain,[BOSS],60,Flow,41604
2872,13,20,11,Terrain,Nightrose,50,Flow,44634
2873,14,9,23,Terrain,Holo,49,Flow,28681
2874,14,29,46,Terrain,Riso,60,Flow,53764
2875,13,35,10,Terrain,Hypermage,52,Flow,52989
2876,13,15,2,Terrain,Arc,50,Flow,51004
2877,10,19,13,Terrain,[CUR2],13,Flow,34610
2878,7,7,0,Terrain,Mt Zuka,46,Flow,37505
2879,13,8,6,Terrain,Nightrose,26,Flow,41550
2880,6,9,21,Terrain,Ender,14,Flow,35408
2881,10,17,31,Terrain,[YUNA],9,Flow,53335
2882,8,16,22,Terrain,Cradle,65,Flow,48036
2883,13,30,28,Terrain,Hypermage,72,Flow,50258
2884,7,12,6,Terrain,Intro Forest,3,Flow,24266
2885,11,3,7,Terrain,[DARK],73,Flow,48241
2886,14,17,0,Terrain,Holo,46,Flow,50673
2887,13,37,21,Terrain,Arc,48,Flow,37676
2888,8,11,7,Terrain,Cradle,14,Flow,37343
2889,1,2,3,Terrain,Kairo,87,Hyper,51464
2890,14,45,13,Terrain,Holo,47,Flow,42578
2891,14,5,5,Terrain,Exduo,45,Pulse,49073
2892,13,8,16,Terrain,Hypermage,70,Pulse,51737
2893,7,5,17,Terrain,Intro Forest,7,Hyper,34862
2894,13,44,38,Terrain,Dynacrypts,56,Flow,47345
2895,8,2,8,Terrain,Akileaf,2,Flow,50973
2896,14,11,12,Terrain,Holo,5,Flow,42078
2897,10,27,0,Terrain,[CUR2],13,Pulse,38335
2898,11,13,25,Terrain,[MENU],53,Flow,53051
2899,14,22,34,Terrain,Mirage,46,Pulse,46762
2900,13,43,8,Terrain,Dynacrypts,50,Pulse,53958
2901,14,0,7,Terrain,Holo,35,Pulse,52249
2902,15,14,3,Terrain,Linosim,27,Flow,30798
2903,14,34,27,Terrain,Exduo,8,Pulse,38896
2904,14,19,33,Terrain,Riso,48,Flow,11803
2905,13,29,37,Terrain,Grove,50,Flow,42749
2906,13,21,44,Terrain,Dynacrypts,36,Flow,23462
2907,15,3,18,Terrain,Pepo,43,Pulse,42083
2908,8,9,3,Terrain,Everglades,65,Flow,38589
2909,14,4,39,Terrain,Holo,52,Flow,9692
2910,9,0,4,Terrain,Dhampir,56,Flow,41364
2911,8,18,2,Terrain,Cradle,8,Flow,50236
2912,16,0,10,Terrain,Uwo,66,Flow,42396
2913,10,15,21,Terrain,[MOON],29,Flow,44379
2914,14,26,38,Terrain,Holo,50,Flow,23840
2915,14,37,23,Terrain,Riso,51,Flow,48797
2916,11,1,13,Terrain,[BOSS],88,Flow,39877
2917,7,7,13,Terrain,Zerinia,31,Pulse,48070
2918,14,1,42,Origin Daydream,Mirage,69,Hyper,47035
2919,16,6,11,Terrain,Mould,32,Pulse,52147
2920,7,5,3,Terrain,First Earth,80,Pulse,45494
2921,8,19,8,Terrain,Kippsun,63,Flow,52711
2922,9,11,8,Terrain,Wastelands,84,Pulse,30357
2923,7,17,2,Terrain,Intro Forest,48,Flow,26726
2924,3,6,6,Terrain,Kairo,77,Pulse,48985
2925,16,22,14,Terrain,Blossom,57,Pulse,20576
2926,14,41,1,Terrain,Riso,28,Flow,45676
2927,14,22,19,Terrain,Holo,32,Flow,45752
2928,11,16,31,Terrain,[BOSS],41,Flow,45205
2929,2,7,3,Terrain,Kairo,20,Flow,43915
2930,4,15,7,Terrain,Kairo,51,Flow,51531
2931,4,3,15,Terrain,Kairo,58,Pulse,47657
2932,10,19,4,Terrain,[HYCA],38,Flow,51076
2933,12,3,4,Terrain,Palace,7,Flow,19416
2934,14,39,6,Terrain,Exduo,35,Flow,43248
2935,5,2,15,Terrain,Royal,85,Flow,37671
2936,13,16,24,Terrain,Nightrose,21,Hyper,17540
2937,8,19,2,Terrain,Everglades,28,Pulse,29613
2938,11,20,27,Terrain,[DARK],49,Flow,52887
2939,4,3,9,Terrain,Kairo,50,Flow,50836
2940,7,18,12,Terrain,Zerinia,47,Flow,48754
2941,17,0,14,Terrain,Alto,91,Flow,33630
2942,15,17,10,Terrain,Venmon,49,Pulse,46338
2943,14,31,6,Terrain,Exduo,44,Flow,50448
2944,12,11,13,Terrain,Muxtai X1,19,Pulse,44963
